"取引日","取引所コード","取引種別","現商品コード","取組高(当業者)(売)","取組高(当業者)(買)","取組高(プロップ、マーケット・メーカー)(売)","取組高(プロップ、マーケット・メーカー)(買)","取組高(ファンド・投資信託)(売)","取組高(ファンド・投資信託)(買)","取組高(一般投資家)(売)","取組高(一般投資家)(買)","取組高(取次者経由)(売)","取組高(取次者経由)(買)","取組高(外国商品先物取引業者経由)(売)","取組高(外国商品先物取引業者経由)(買)","期近帳入値","期先帳入値"
"20200520","77","11","11","16328","3610","2522","3667","0","418","21176","26413","3285","4904","2198","6497","6064","6062"
"20200520","77","12","16","","","9729","2118","0","1","3945","4238","736","617","507","7943","6064","6062"
"20200520","77","11","12","767","32","7","7","","","149","734","5","108","145","192","60.3","61"
"20200520","77","11","13","9994","866","594","1099","0","242","6747","13556","3043","4498","1303","1420","2926","2881"
"20200520","77","12","17","","","1056","381","","","852","1335","104","200","292","388","2926","2881"
"20200520","77","12","19","","","903","971","","","1795","6688","2724","4669","7199","293","2919","2919"
"20200520","77","12","18","","","396","3301","","","36429","31671","6716","7232","34","1371","6049","6049"
"20200520","77","11","14","540","463","","","","","133","224","19","12","12","5","6798","7126"
"20200520","77","11","31","1301","758","137","187","","","263","689","30","103","116","110","30500","34210"
"20200520","77","11","32","486","519","86","151","","","114","90","","","78","4","32400","34510"
"20200520","77","11","34","","","","","","","","","","","","","44600","47100"
"20200520","77","12","33","42382","7088","5847","5471","0","141569","3370","4044","455","1140","118535","11277","23870","25140"
"20200520","77","11","37","384","280","26","127","","","0","3","","","","","30500","34000"
"20200520","77","11","38","66","113","49","0","","","0","2","","","","","35000","34000"
"20200520","77","11","81","1944","5876","223","229","","","2027","3945","1120","1751","8083","1596","141.6","154.9"
"20200520","77","11","201","1264","132","16","27","","","399","1483","61","244","171","25","19200","22430"
"20200520","77","11","202","","","","","","","","","","","","","46000","46000"
"20200520","77","11","204","2","1","","","","","0","2","1","0","","","17300","14400"
"20200520","77","12","41","","","","","","","","","","","","","29000","31000"
"20200520","77","12","42","","","","","","","","","","","","","31000","31000"
"20200520","77","12","43","","","","","","","","","","","","","36000","46100"
"20200520","77","12","44","","","","","","","","","","","","","34000","34000"
"20200520","77","12","45","","","","","","","","","","","","","34000","34000"
"20200520","77","12","46","","","","","","","","","","","","","36000","46300"
"20200520","77","12","61","110","110","","","","","","","","","","","6.09","7.11"
"20200520","77","12","62","","","","","","","","","","","","","6.94","9.92"
"20200520","77","12","63","1230","1260","","","","","","","","","30","0","7.05","8.01"
"20200520","77","12","64","220","772","","","","","0","1","","","553","0","7.57","11.02"
"20200520","77","11","82","","","","","","","","","","","","","117.7","120.3"
"20200527","77","11","11","20013","3597","2773","4021","0","389","20308","29218","3415","5003","2512","6793","5902","5907"
"20200527","77","12","16","","","10885","2104","0","1","3638","4989","693","706","501","7917","5902","5907"
"20200527","77","11","12","741","32","2","2","","","132","695","6","108","162","206","60.3","59"
"20200527","77","11","13","9281","705","573","1049","0","242","6855","13488","3188","4621","1117","909","2891","2871"
"20200527","77","12","17","","","935","340","","","807","1362","102","189","344","297","2891","2871"
"20200527","77","12","19","","","955","935","","","1809","6731","2725","4852","7062","33","2897","2897"
"20200527","77","12","18","","","487","1481","","","36349","32809","7033","9767","233","45","5888","5888"
"20200527","77","11","14","554","453","","","","","121","220","19","13","1","9","6800","6877"
"20200527","77","11","31","1181","664","101","122","","","260","636","24","109","86","121","33790","36100"
"20200527","77","11","32","451","518","80","109","","","121","81","","","64","8","33500","36050"
"20200527","77","11","34","","","","","","","","","","","","","44900","47400"
"20200527","77","12","33","43315","8575","6098","5687","0","160268","3296","3940","411","1193","135625","9082","24780","25800"
"20200527","77","11","37","93","97","10","4","","","1","3","","","","","34000","34000"
"20200527","77","11","38","30","63","35","0","","","0","2","","","","","34300","34000"
"20200527","77","11","81","1971","5114","181","112","","","2253","4139","1303","1868","7174","1649","137.8","154"
"20200527","77","11","201","1225","147","14","15","","","375","1462","61","223","207","35","19100","22200"
"20200527","77","11","202","","","","","","","","","","","","","46000","46000"
"20200527","77","11","204","2","1","","","","","0","2","1","0","","","17200","14400"
"20200527","77","12","41","","","","","","","4","4","","","","","29000","31000"
"20200527","77","12","42","","","","","","","","","","","","","31000","31000"
"20200527","77","12","43","","","","","","","","","","","","","36000","45900"
"20200527","77","12","44","","","","","","","","","","","","","34000","34000"
"20200527","77","12","45","","","","","","","","","","","","","34000","34000"
"20200527","77","12","46","","","","","","","","","","","","","36000","46100"
"20200527","77","12","61","110","110","","","","","","","","","","","5.18","7.19"
"20200527","77","12","62","","","","","","","","","","","","","6.95","10.03"
"20200527","77","12","63","1230","1440","","","","","","","","","210","0","6.9","8.12"
"20200527","77","12","64","220","772","","","","","0","1","","","553","0","7.57","11.13"
"20200527","77","11","82","","","","","","","","","","","","","122","124"
"20200603","77","11","11","18145","3885","1765","3127","0","390","21279","28986","3477","4946","2183","5515","6008","6009"
"20200603","77","12","16","","","9881","2043","0","1","3976","4613","706","689","413","7630","6008","6009"
"20200603","77","11","12","737","42","2","2","","","184","748","6","108","208","237","60.6","62.5"
"20200603","77","11","13","9045","568","507","1020","0","241","6652","13046","3383","4748","1209","1173","2924","2897"
"20200603","77","12","17","","","983","352","","","862","1339","107","175","294","380","2924","2897"
"20200603","77","12","19","","","933","900","","","1862","6574","2701","5134","7112","0","2931","2931"
"20200603","77","12","18","","","302","1242","","","37106","33898","7368","9886","250","0","6021","6021"
"20200603","77","11","14","548","443","","","","","114","211","20","13","3","18","6800","6899"
"20200603","77","11","31","1230","690","108","136","","","277","595","24","100","59","177","35150","37350"
"20200603","77","11","32","500","518","63","137","","","121","74","","","51","6","35400","37750"
"20200603","77","11","34","","","","","","","","","","","","","46300","47600"
"20200603","77","12","33","43440","8097","6197","5976","0","161648","3356","3319","339","963","136109","9438","27240","27910"
"20200603","77","11","37","93","94","9","6","","","1","3","","","","","36000","34000"
"20200603","77","11","38","33","66","35","0","","","0","2","","","","","35500","34000"
"20200603","77","11","81","2259","4628","380","331","","","2247","4208","1214","1880","7115","2168","130.1","157"
"20200603","77","11","201","1210","186","10","13","","","393","1442","62","197","190","27","18200","22640"
"20200603","77","11","202","","","","","","","","","","","","","46000","46000"
"20200603","77","11","204","2","1","","","","","1","3","1","0","","","17200","14390"
"20200603","77","12","41","","","","","","","4","4","","","","","30000","31000"
"20200603","77","12","42","","","","","","","","","","","","","31000","31000"
"20200603","77","12","43","","","","","","","","","","","","","41800","47200"
"20200603","77","12","44","","","","","","","","","","","","","34000","34000"
"20200603","77","12","45","","","","","","","","","","","","","34000","34000"
"20200603","77","12","46","","","","","","","","","","","","","42000","47400"
"20200603","77","12","61","100","100","","","","","","","","","","","7.8","7.05"
"20200603","77","12","62","","","","","","","","","","","","","10.26","9.2"
"20200603","77","12","63","1110","1440","","","","","","","","","330","0","8.2","8.56"
"20200603","77","12","64","221","721","","","","","0","2","","","502","0","9.21","11.5"
"20200603","77","11","82","","","","","","","","","","","","","122","127.5"
"20200610","77","11","11","22054","3450","1979","3489","0","416","19934","31256","3451","5308","2637","6136","5931","5943"
"20200610","77","12","16","","","10680","1857","0","1","3649","5312","689","783","519","7584","5931","5943"
"20200610","77","11","12","727","32","","","","","187","797","6","108","182","165","61","62.9"
"20200610","77","11","13","9662","359","480","858","0","241","6546","12896","3349","4818","1345","2210","2903","2913"
"20200610","77","12","17","","","944","390","","","812","1336","106","178","344","302","2903","2913"
"20200610","77","12","19","","","1005","900","","","1851","6433","2647","5285","7115","0","2896","2896"
"20200610","77","12","18","","","1282","320","","","37550","36091","6694","10950","1835","0","5919","5919"
"20200610","77","11","14","546","431","","","","","106","208","18","16","4","19","6800","6720"
"20200610","77","11","31","1260","743","28","192","","","323","496","26","79","40","167","37950","39360"
"20200610","77","11","32","598","562","83","190","","","142","71","","","22","22","38400","39800"
"20200610","77","11","34","","","","","","","","","","","","","46000","47300"
"20200610","77","12","33","44407","8590","7875","7564","0","171450","3610","3960","314","1028","145425","9039","27250","28140"
"20200610","77","11","37","182","154","8","37","","","1","0","","","","","39400","38000"
"20200610","77","11","38","52","72","22","0","","","0","2","","","","","40990","38000"
"20200610","77","11","81","2661","3672","484","470","","","1829","4149","1242","1885","6265","2305","139.9","163"
"20200610","77","11","201","1244","189","8","11","","","387","1485","70","180","186","30","18200","22720"
"20200610","77","11","202","","","","","","","","","","","","","46000","46000"
"20200610","77","11","204","3","1","","","","","0","3","1","0","","","16800","13690"
"20200610","77","12","41","","","","","","","4","4","","","","","30000","31000"
"20200610","77","12","42","","","","","","","","","","","","","31000","31000"
"20200610","77","12","43","","","","","","","","","","","","","41800","46900"
"20200610","77","12","44","","","","","","","","","","","","","34000","34000"
"20200610","77","12","45","","","","","","","","","","","","","34000","34000"
"20200610","77","12","46","","","","","","","","","","","","","42000","47100"
"20200610","77","12","61","100","100","","","","","","","","","","","7.81","7.19"
"20200610","77","12","62","","","","","","","","","","","","","10.1","9.32"
"20200610","77","12","63","1110","1440","","","","","0","120","","","450","0","8.19","8.66"
"20200610","77","12","64","222","722","","","","","0","2","","","502","0","9.18","11.59"
"20200610","77","11","82","","","","","","","","","","","","","127","129"
"20200617","77","11","11","20781","3727","1757","3378","0","425","19922","29898","3434","5218","2908","6156","5944","5962"
"20200617","77","12","16","","","10610","1726","0","1","3749","5518","666","765","525","7540","5944","5962"
"20200617","77","11","12","845","38","","","","","157","841","8","107","157","181","60","60.4"
"20200617","77","11","13","9682","409","385","886","0","241","6504","12944","3308","5010","1343","1732","2842","2800"
"20200617","77","12","17","","","1175","280","","","781","1517","104","200","298","361","2842","2800"
"20200617","77","12","19","","","905","905","","","1882","6617","2845","5321","7211","0","2826","2826"
"20200617","77","12","18","","","1018","408","","","37199","35311","7059","10895","1389","51","5950","5950"
"20200617","77","11","14","544","439","","","","","105","202","18","17","7","16","6900","6715"
"20200617","77","11","31","1314","771","30","220","","","302","471","20","96","33","141","38500","38390"
"20200617","77","11","32","662","569","63","209","","","124","63","","","23","31","37000","39350"
"20200617","77","11","34","","","","","","","","","","","","","45300","46400"
"20200617","77","12","33","45038","9461","8756","8374","0","163464","3111","3572","264","939","146201","17560","26620","27440"
"20200617","77","11","37","303","235","5","74","","","1","0","","","","","38000","39400"
"20200617","77","11","38","392","265","7","132","","","0","2","","","","","37500","40000"
"20200617","77","11","81","2936","4073","389","316","","","2041","3899","1433","2053","5349","1807","139.4","157.2"
"20200617","77","11","201","1166","55","8","9","","","362","1518","92","175","162","33","20050","22660"
"20200617","77","11","202","","","","","","","","","","","","","46000","46000"
"20200617","77","11","204","4","2","","","","","0","2","","","","","16800","13690"
"20200617","77","12","41","","","","","","","4","4","","","","","30000","31000"
"20200617","77","12","42","","","","","","","","","","","","","31000","31000"
"20200617","77","12","43","","","","","","","","","","","","","41800","46400"
"20200617","77","12","44","","","","","","","","","","","","","34000","34000"
"20200617","77","12","45","","","","","","","","","","","","","34000","34000"
"20200617","77","12","46","","","","","","","","","","","","","42000","46500"
"20200617","77","12","61","100","100","","","","","","","","","","","7.74","7.05"
"20200617","77","12","62","","","","","","","","","","","","","9.73","9.06"
"20200617","77","12","63","1110","1440","","","","","0","120","","","450","0","8.15","8.47"
"20200617","77","12","64","352","811","0","40","","","0","3","","","502","0","9.05","11.35"
"20200617","77","11","82","","","","","","","","","","","","","127","129"
"20200624","77","11","11","20310","3917","1835","3430","0","437","21188","28971","3430","5027","2596","7577","6054","6065"
"20200624","77","12","16","","","9113","1647","0","1","4280","4834","699","653","574","7531","6054","6065"
"20200624","77","11","12","826","18","","","","","145","792","8","111","104","162","59","61.4"
